Group,Author,uTime,Normal Time,HH:MM:SS,Text,Permalink,Likes
zoommemes,Daniel Molina,1593106793,2020-06-25 17:39:53 PDT-0700,17:39:53,Because thats what heroes do,,11000
zoommemes,Jennifer Zhuang,1592370429,2020-06-17 05:07:09 PDT-0700,05:07:09,hello everyone looking for a quarantine bae what about ur perfect zoommate youre in luck because right now<comma> we are casting for a zoom based college dating show  fill out the short google doc and producers will be in touch soon this is open to EVERYONE  regardless of race<comma> gender<comma> or sexual orientation. link tinyurl.comzoommate,,1100
zoommemes,Edgar Uribe III,1593107829,2020-06-25 17:57:09 PDT-0700,17:57:09,,,624
zoommemes,Asher Caplan,1593146718,2020-06-26 04:45:18 PDT-0700,04:45:18,care reacts only,,1200
zoommemes,Luis Daniel González,1593107030,2020-06-25 17:43:50 PDT-0700,17:43:50,For yall ladies in the group who are considering cutting your hair. Become a legend and grow a beard instead.,,453
zoommemes,Justin Burnett,1593106419,2020-06-25 17:33:39 PDT-0700,17:33:39,F for the fallen soldier,,699
zoommemes,Gabriella Cooperman,1592765823,2020-06-21 18:57:03 PDT-0700,18:57:03,LMAO yes.,,5500
zoommemes,Anthony Selkowitz,1593204368,2020-06-26 20:46:08 PDT-0700,20:46:08,yknw<comma>Im something of historian myself,,7000
zoommemes,Help I can’t stop throwing the peace sign at people because I’m dead inside,1592798321,2020-06-22 03:58:41 PDT-0700,03:58:41,,,2100
zoommemes,Lacy Ellen,1592113044,2020-06-14 05:37:24 PDT-0700,05:37:24,I think I am funny but my twitter follow count disagrees well here has been my mood as a quarantined college kid,,9700
zoommemes,Patty Arrigo,1592554593,2020-06-19 08:16:33 PDT-0700,08:16:33,,,16000
zoommemes,Lexi Ross,1593196035,2020-06-26 18:27:15 PDT-0700,18:27:15,Theres nothing like a wholesome email from a prof to start your Friday off right,,2400
zoommemes,Hanna Dobrynski,1593022825,2020-06-24 18:20:25 PDT-0700,18:20:25,The exam is designed to take about 75 minutes to complete me after 6 hours,,5400
zoommemes,Lauren Montgomery,1593146289,2020-06-26 04:38:09 PDT-0700,04:38:09,thanks covid  losing more clothes by staying home,,245
zoommemes,James Erickson,1593237034,2020-06-27 05:50:34 PDT-0700,05:50:34,Real talk though<comma> hows everyone doing Feel free to vent in the comments if you need to<comma> Ill try to reply to as many as I can  EDIT I hope each and every one of you has a great day today ,,225
zoommemes,Vanessa Meade,1592554543,2020-06-19 08:15:43 PDT-0700,08:15:43,One solution,,797
zoommemes,Aqsa Noor,1593015917,2020-06-24 16:25:17 PDT-0700,16:25:17,what sparks joy,,420
zoommemes,PakistaNow,1593107529,2020-06-25 17:52:09 PDT-0700,17:52:09,,,1200
zoommemes,Tim Lan,1593232505,2020-06-27 04:35:05 PDT-0700,04:35:05,,,3100
zoommemes,Angeline Ang,1591763798,2020-06-10 04:36:38 PDT-0700,04:36:38,,,3600
zoommemes,Razi Mahmood,1592554607,2020-06-19 08:16:47 PDT-0700,08:16:47,Too real ,,1400
zoommemes,Joshua Valentine,1591763295,2020-06-10 04:28:15 PDT-0700,04:28:15,,,4000
zoommemes,Psychology and Memes,1592596157,2020-06-19 19:49:17 PDT-0700,19:49:17,Squading up on assignments like,,1400
zoommemes,Megan Katrina Edward,1593106923,2020-06-25 17:42:03 PDT-0700,17:42:03,hey guys were a couple of college students that just got together during quarantine and built this app made for us<comma> college students it video matches you with other students in quarantine at random and is so fun so far. httpsmilkchat.app.link ,,292
zoommemes,Nikoo Dalili,1593106893,2020-06-25 17:41:33 PDT-0700,17:41:33,costar says its time for quarantine to end,,149
zoommemes,Naomi Rajoo,1592867430,2020-06-22 23:10:30 PDT-0700,23:10:30,New quarantine meme template,,467
zoommemes,Isabella Ali,1593107783,2020-06-25 17:56:23 PDT-0700,17:56:23,,,224
zoommemes,Gauri Jain,1588138745,2020-04-29 05:39:05 PDT-0700,05:39:05,built my school in Minecraft  Thought I should release this now considering that our mayor announced schools will be closed for the school year This is Stuyvesant High School in Lower Manhattan also yeah this is an alt account for my friends wondering,,3000
zoommemes,Jillian Dein,1593022215,2020-06-24 18:10:15 PDT-0700,18:10:15,,,17000
zoommemes,Arsh Gupta,1593193914,2020-06-26 17:51:54 PDT-0700,17:51:54,Please let me graduate sooner,,156
zoommemes,Kumar Aditya,1590624405,2020-05-28 00:06:45 PDT-0700,00:06:45,Thanks professor,,4400
zoommemes,Tomi Odukoya,1593204387,2020-06-26 20:46:27 PDT-0700,20:46:27,,,592
zoommemes,rigatomii,1593146456,2020-06-26 04:40:56 PDT-0700,04:40:56,rip,,2300
zoommemes,Lyssa Snook,1592867951,2020-06-22 23:19:11 PDT-0700,23:19:11,,,616
zoommemes,SailorMeme,1592244427,2020-06-15 18:07:07 PDT-0700,18:07:07,some positivity during trying times,,10000
zoommemes,Amanda Chen,1592554615,2020-06-19 08:16:55 PDT-0700,08:16:55,,,9600
zoommemes,Venus Triplitt-Bubbles,1592122897,2020-06-14 08:21:37 PDT-0700,08:21:37,Hang in there class of 2020 ,,17000
zoommemes,Anthony Yoon,1592867983,2020-06-22 23:19:43 PDT-0700,23:19:43,waking up at 3 and realizing this is your life now,,7800
zoommemes,Símran Parékh,1593021986,2020-06-24 18:06:26 PDT-0700,18:06:26,They really just said theyre on an internet detox in the middle of an online semester DEAd Edit thats not me yall Thats from a twitter account bintejballer,,6200
zoommemes,Randy Gagnon,1590451564,2020-05-26 00:06:04 PDT-0700,00:06:04,My 13 year old brother is trying to recreate school with my sisters stuffed animals. He put the big ones in the back so the little ones could see ,,7300
zoommemes,The Dirtbag Diaries,1593022147,2020-06-24 18:09:07 PDT-0700,18:09:07,F,,3500
zoommemes,Abdullah Memon,1592097015,2020-06-14 01:10:15 PDT-0700,01:10:15,hey there<comma> demons<comma> its me<comma> ya boy,,6500
zoommemes,Marisa Umeh-Burchell,1592596378,2020-06-19 19:52:58 PDT-0700,19:52:58,,,1400
zoommemes,Josef Hicks,1589471765,2020-05-14 15:56:05 PDT-0700,15:56:05,Ruin a zoom date in 5 words. edit all yall who have commented multiple times are real ones,,514
zoommemes,Humour Hub,1592496139,2020-06-18 16:02:19 PDT-0700,16:02:19,,,5200
zoommemes,Najam Ul Assar,1593106859,2020-06-25 17:40:59 PDT-0700,17:40:59,Whoops,,419
zoommemes,Lazy Potato,1592867870,2020-06-22 23:17:50 PDT-0700,23:17:50,Im not sure whether this triangle exists or not,,3100
zoommemes,Richard Wang,1589619654,2020-05-16 09:00:54 PDT-0700,09:00:54,,,11000
zoommemes,Prabhmeet Singh,1592164596,2020-06-14 19:56:36 PDT-0700,19:56:36,It took me 3 days to get through 20 pages send help,,12000
zoommemes,Ali Hafsa,1593106885,2020-06-25 17:41:25 PDT-0700,17:41:25,Alone with my thoughts in quarantine got me like this...,,7500
zoommemes,The Connoisseur,1588662972,2020-05-05 07:16:12 PDT-0700,07:16:12,Man I should study My brain,,6700
